dt_key,dt_local,export_mw,Eolien (MW),Solaire (MW),Consommation (MW),Ech. physiques (MW),in_union_hours
2024-11-19T03:30:00+01:00,2024-11-19 03:30:00,5315,5246,0,4982,-5315,True
2024-12-07T04:30:00+01:00,2024-12-07 04:30:00,5307,5299,0,5041,-5307,True
2024-11-19T05:00:00+01:00,2024-11-19 05:00:00,5271,5237,0,5003,-5271,True
2024-12-08T05:00:00+01:00,2024-12-08 05:00:00,5270,5244,0,4931,-5270,True
2024-12-08T04:30:00+01:00,2024-12-08 04:30:00,5248,5212,0,4928,-5248,True
2024-12-19T02:00:00+01:00,2024-12-19 02:00:00,5241,5481,0,5151,-5241,True
2024-11-19T04:00:00+01:00,2024-11-19 04:00:00,5240,5272,0,5075,-5240,True
2024-12-08T06:00:00+01:00,2024-12-08 06:00:00,5215,5236,0,4976,-5215,True
2024-01-02T05:00:00+01:00,2024-01-02 05:00:00,5206,5402,0,4505,-5206,True
2024-12-08T05:30:00+01:00,2024-12-08 05:30:00,5201,5231,0,4977,-5201,True
2024-11-19T04:30:00+01:00,2024-11-19 04:30:00,5166,5254,0,5120,-5166,True
2024-01-01T23:00:00+01:00,2024-01-01 23:00:00,5160,5338,0,4914,-5160,True
2024-12-08T06:30:00+01:00,2024-12-08 06:30:00,5155,5286,0,5117,-5155,True
2024-01-02T04:30:00+01:00,2024-01-02 04:30:00,5138,5424,0,4550,-5138,True
2024-12-07T05:00:00+01:00,2024-12-07 05:00:00,5135,5276,0,5162,-5135,True
2024-12-23T03:00:00+01:00,2024-12-23 03:00:00,5116,5312,0,5112,-5116,True
2024-12-07T05:30:00+01:00,2024-12-07 05:30:00,5114,5271,0,5193,-5114,True
2024-12-08T03:30:00+01:00,2024-12-08 03:30:00,5113,5232,0,5064,-5113,True
2024-01-05T04:00:00+01:00,2024-01-05 04:00:00,5099,5327,0,5165,-5099,True
2024-01-02T04:00:00+01:00,2024-01-02 04:00:00,5098,5461,0,4598,-5098,True
2024-11-19T03:00:00+01:00,2024-11-19 03:00:00,5097,5214,0,5157,-5097,True
2024-12-07T03:30:00+01:00,2024-12-07 03:30:00,5092,5271,0,5231,-5092,True
2024-12-08T07:30:00+01:00,2024-12-08 07:30:00,5047,5319,0,5239,-5047,True
2024-12-19T01:30:00+01:00,2024-12-19 01:30:00,5046,5524,0,5401,-5046,True
2024-01-02T03:30:00+01:00,2024-01-02 03:30:00,5042,5466,0,4667,-5042,True
2024-01-05T04:30:00+01:00,2024-01-05 04:30:00,5037,5352,0,5296,-5037,True
2024-01-05T03:30:00+01:00,2024-01-05 03:30:00,5005,5328,0,5317,-5005,True
2024-11-19T05:30:00+01:00,2024-11-19 05:30:00,5001,5196,0,5226,-5001,True
2024-11-19T02:30:00+01:00,2024-11-19 02:30:00,5000,5196,0,5221,-5000,True
2024-12-07T04:00:00+01:00,2024-12-07 04:00:00,4998,5262,0,5312,-4998,True
2024-12-08T07:00:00+01:00,2024-12-08 07:00:00,4985,5270,0,5241,-4985,True
2024-01-01T22:00:00+01:00,2024-01-01 22:00:00,4964,5300,0,5079,-4964,True
2024-01-05T03:00:00+01:00,2024-01-05 03:00:00,4960,5322,0,5295,-4960,True
2024-12-08T04:00:00+01:00,2024-12-08 04:00:00,4958,5192,0,5200,-4958,True
2024-01-03T06:00:00+01:00,2024-01-03 06:00:00,4957,5139,0,5062,-4957,True
2024-12-08T03:00:00+01:00,2024-12-08 03:00:00,4954,5191,0,5206,-4954,True
2024-12-07T07:00:00+01:00,2024-12-07 07:00:00,4953,5168,0,5257,-4953,True
2024-12-19T01:00:00+01:00,2024-12-19 01:00:00,4940,5506,0,5469,-4940,True
2024-12-21T22:00:00+01:00,2024-12-21 22:00:00,4933,5319,0,5249,-4933,True
2024-01-05T02:00:00+01:00,2024-01-05 02:00:00,4915,5297,0,5460,-4915,True
2024-01-02T05:30:00+01:00,2024-01-02 05:30:00,4911,5314,0,4690,-4911,True
2024-01-02T06:30:00+01:00,2024-01-02 06:30:00,4907,5151,0,4978,-4907,True
2024-01-02T00:00:00+01:00,2024-01-02 00:00:00,4905,5361,0,5167,-4905,True
2024-12-07T06:00:00+01:00,2024-12-07 06:00:00,4885,5142,0,5289,-4885,True
2024-12-06T05:00:00+01:00,2024-12-06 05:00:00,4878,5134,0,5325,-4878,True
2024-12-08T08:00:00+01:00,2024-12-08 08:00:00,4871,5311,0,5394,-4871,True
2024-12-23T02:30:00+01:00,2024-12-23 02:30:00,4849,5336,0,5365,-4849,True
2024-12-07T03:00:00+01:00,2024-12-07 03:00:00,4845,5268,0,5470,-4845,True
2024-01-02T02:00:00+01:00,2024-01-02 02:00:00,4841,5504,0,4825,-4841,True
2024-01-03T05:30:00+01:00,2024-01-03 05:30:00,4833,5064,0,5049,-4833,True
2024-12-07T02:30:00+01:00,2024-12-07 02:30:00,4831,5290,0,5515,-4831,True
2024-01-05T02:30:00+01:00,2024-01-05 02:30:00,4826,5326,0,5539,-4826,True
2024-12-21T20:00:00+01:00,2024-12-21 20:00:00,4821,5562,0,5657,-4821,True
2024-12-22T00:00:00+01:00,2024-12-22 00:00:00,4810,5210,0,5305,-4810,True
2024-12-08T08:30:00+01:00,2024-12-08 08:30:00,4783,5323,0,5510,-4783,True
2024-11-24T23:00:00+01:00,2024-11-24 23:00:00,4782,5206,0,5060,-4782,True
2024-12-19T00:30:00+01:00,2024-12-19 00:30:00,4777,5502,0,5645,-4777,True
2024-12-07T06:30:00+01:00,2024-12-07 06:30:00,4775,5030,0,5288,-4775,True
2024-01-02T02:30:00+01:00,2024-01-02 02:30:00,4772,5471,0,4912,-4772,True
2024-12-06T03:30:00+01:00,2024-12-06 03:30:00,4766,5213,0,5507,-4766,True
2024-12-22T22:00:00+01:00,2024-12-22 22:00:00,4762,5242,0,5435,-4762,True
2024-12-08T09:00:00+01:00,2024-12-08 09:00:00,4756,5324,1,5510,-4756,True
2024-01-02T23:30:00+01:00,2024-01-02 23:30:00,4754,5346,0,5411,-4754,True
2024-11-19T02:00:00+01:00,2024-11-19 02:00:00,4752,5152,0,5412,-4752,True
2024-01-05T01:30:00+01:00,2024-01-05 01:30:00,4749,5271,0,5535,-4749,True
2024-12-18T23:30:00+01:00,2024-12-18 23:30:00,4739,5478,0,5665,-4739,True
2024-01-05T05:00:00+01:00,2024-01-05 05:00:00,4734,5335,0,5441,-4734,True
2024-01-01T23:30:00+01:00,2024-01-01 23:30:00,4733,5376,0,5287,-4733,True
2024-01-04T23:30:00+01:00,2024-01-04 23:30:00,4732,5063,0,5627,-4732,True
2024-12-18T23:00:00+01:00,2024-12-18 23:00:00,4732,5436,0,5628,-4732,True
2024-01-01T21:00:00+01:00,2024-01-01 21:00:00,4731,5085,0,5244,-4731,True
2024-12-06T02:30:00+01:00,2024-12-06 02:30:00,4722,5390,0,5703,-4722,True
2024-12-21T21:30:00+01:00,2024-12-21 21:30:00,4711,5421,0,5612,-4711,True
2024-01-03T01:00:00+01:00,2024-01-03 01:00:00,4706,5289,0,5395,-4706,True
2024-01-02T03:00:00+01:00,2024-01-02 03:00:00,4690,5469,0,4975,-4690,True
2024-12-08T02:30:00+01:00,2024-12-08 02:30:00,4675,5068,0,5337,-4675,True
2024-04-04T16:00:00+02:00,2024-04-04 16:00:00,4674,4517,315,5324,-4674,True
2024-11-24T21:30:00+01:00,2024-11-24 21:30:00,4667,5253,0,5277,-4667,True
2024-12-19T02:30:00+01:00,2024-12-19 02:30:00,4665,5436,0,5330,-4665,True
2024-01-04T23:00:00+01:00,2024-01-04 23:00:00,4660,5029,0,5667,-4660,True
2024-01-05T01:00:00+01:00,2024-01-05 01:00:00,4659,5268,0,5621,-4659,True
2024-11-19T06:00:00+01:00,2024-11-19 06:00:00,4657,5182,0,5555,-4657,True
2024-11-25T00:00:00+01:00,2024-11-25 00:00:00,4656,5166,0,5170,-4656,True
2024-12-23T01:30:00+01:00,2024-12-23 01:30:00,4651,5343,0,5601,-4651,True
2024-01-01T22:30:00+01:00,2024-01-01 22:30:00,4647,5292,0,5326,-4647,True
2024-12-06T04:30:00+01:00,2024-12-06 04:30:00,4646,5123,0,5521,-4646,True
2024-01-02T00:30:00+01:00,2024-01-02 00:30:00,4641,5396,0,5334,-4641,True
2024-12-06T04:00:00+01:00,2024-12-06 04:00:00,4637,5167,0,5585,-4637,True
2024-12-06T01:00:00+01:00,2024-12-06 01:00:00,4620,5396,0,5822,-4620,True
2024-12-22T23:00:00+01:00,2024-12-22 23:00:00,4616,5330,0,5671,-4616,True
2024-11-24T22:00:00+01:00,2024-11-24 22:00:00,4612,5247,0,5305,-4612,True
2024-12-18T22:30:00+01:00,2024-12-18 22:30:00,4608,5382,0,5690,-4608,True
2024-01-02T23:00:00+01:00,2024-01-02 23:00:00,4608,5330,0,5563,-4608,True
2024-12-21T21:00:00+01:00,2024-12-21 21:00:00,4606,5441,0,5726,-4606,True
2024-12-06T01:30:00+01:00,2024-12-06 01:30:00,4605,5369,0,5805,-4605,True
2024-01-02T21:30:00+01:00,2024-01-02 21:30:00,4602,5350,0,5554,-4602,True
2024-12-07T11:00:00+01:00,2024-12-07 11:00:00,4600,5503,195,6117,-4600,True
2024-12-19T03:00:00+01:00,2024-12-19 03:00:00,4600,5345,0,4956,-4600,True
2024-01-02T22:30:00+01:00,2024-01-02 22:30:00,4598,5344,0,5536,-4598,True
2024-12-21T16:00:00+01:00,2024-12-21 16:00:00,4593,5421,4,5798,-4593,True
2024-12-21T17:30:00+01:00,2024-12-21 17:30:00,4586,5528,0,5968,-4586,True
2024-11-24T05:30:00+01:00,2024-11-24 05:30:00,4579,5054,0,5084,-4579,True
2024-11-24T22:30:00+01:00,2024-11-24 22:30:00,4574,5206,0,5326,-4574,True
2024-11-24T14:30:00+01:00,2024-11-24 14:30:00,4574,5252,172,5453,-4574,True
2024-12-19T04:00:00+01:00,2024-12-19 04:00:00,4573,5335,0,4941,-4573,True
2024-01-01T21:30:00+01:00,2024-01-01 21:30:00,4571,5203,0,5329,-4571,True
2024-01-03T01:30:00+01:00,2024-01-03 01:30:00,4567,5185,0,5428,-4567,True
2024-12-05T23:00:00+01:00,2024-12-05 23:00:00,4567,5409,0,5881,-4567,True
2024-12-07T16:00:00+01:00,2024-12-07 16:00:00,4566,5481,6,5934,-4566,True
2024-12-22T09:00:00+01:00,2024-12-22 09:00:00,4565,5336,1,5584,-4565,True
2024-12-21T16:30:00+01:00,2024-12-21 16:30:00,4564,5470,1,5832,-4564,True
2024-12-06T02:00:00+01:00,2024-12-06 02:00:00,4563,5420,0,5923,-4563,True
2024-12-19T03:30:00+01:00,2024-12-19 03:30:00,4561,5391,0,5023,-4561,True
2024-12-19T00:00:00+01:00,2024-12-19 00:00:00,4554,5491,0,5864,-4554,True
2024-12-06T03:00:00+01:00,2024-12-06 03:00:00,4552,5321,0,5826,-4552,True
2024-01-05T00:30:00+01:00,2024-01-05 00:30:00,4551,5228,0,5679,-4551,True
2024-01-02T07:30:00+01:00,2024-01-02 07:30:00,4546,5010,0,5294,-4546,True
2024-04-04T16:30:00+02:00,2024-04-04 16:30:00,4542,4437,262,5409,-4542,True
2024-01-02T01:30:00+01:00,2024-01-02 01:30:00,4540,5456,0,5109,-4540,True
2024-01-02T16:00:00+01:00,2024-01-02 16:00:00,4539,5496,5,5787,-4539,True
2024-01-03T00:00:00+01:00,2024-01-03 00:00:00,4538,5325,0,5601,-4538,True
2024-01-02T15:30:00+01:00,2024-01-02 15:30:00,4536,5501,7,5803,-4536,True
2024-01-03T06:30:00+01:00,2024-01-03 06:30:00,4530,5191,0,5486,-4530,True
2024-01-02T07:00:00+01:00,2024-01-02 07:00:00,4528,5012,0,5332,-4528,True
2024-12-23T03:30:00+01:00,2024-12-23 03:30:00,4526,5264,0,5140,-4526,True
2024-11-24T05:00:00+01:00,2024-11-24 05:00:00,4526,5074,0,5177,-4526,True
2024-04-04T03:00:00+02:00,2024-04-04 03:00:00,4523,4631,0,4937,-4523,True
2024-12-21T20:30:00+01:00,2024-12-21 20:30:00,4523,5455,0,5839,-4523,True
2024-11-19T06:30:00+01:00,2024-11-19 06:30:00,4514,5163,0,5687,-4514,True
2024-12-21T23:30:00+01:00,2024-12-21 23:30:00,4512,5194,0,5538,-4512,True
2024-01-05T00:00:00+01:00,2024-01-05 00:00:00,4511,5176,0,5957,-4511,True
2024-12-07T01:30:00+01:00,2024-12-07 01:30:00,4508,5155,0,5685,-4508,True
2024-12-18T22:00:00+01:00,2024-12-18 22:00:00,4507,5267,0,5663,-4507,True
2024-11-24T14:00:00+01:00,2024-11-24 14:00:00,4507,5191,147,5474,-4507,True
2024-11-24T00:00:00+01:00,2024-11-24 00:00:00,4506,5188,0,5770,-4506,True
2024-12-21T23:00:00+01:00,2024-12-21 23:00:00,4502,5178,0,5611,-4502,True
2024-12-21T22:30:00+01:00,2024-12-21 22:30:00,4502,5123,0,5535,-4502,True
2024-11-24T04:30:00+01:00,2024-11-24 04:30:00,4501,5041,0,5146,-4501,True
2024-11-19T01:30:00+01:00,2024-11-19 01:30:00,4501,4975,0,5473,-4501,True
2024-11-24T07:00:00+01:00,2024-11-24 07:00:00,4496,5058,0,5156,-4496,True
2024-11-23T22:00:00+01:00,2024-11-23 22:00:00,4496,5215,0,5736,-4496,True
2024-12-07T07:30:00+01:00,2024-12-07 07:30:00,4490,5113,0,5661,-4490,True
2024-12-21T18:30:00+01:00,2024-12-21 18:30:00,4489,5535,0,6028,-4489,True
2024-01-02T01:00:00+01:00,2024-01-02 01:00:00,4487,5413,0,5156,-4487,True
2024-12-21T19:00:00+01:00,2024-12-21 19:00:00,4487,5609,0,6081,-4487,True
2024-12-08T09:30:00+01:00,2024-12-08 09:30:00,4484,5309,6,5778,-4484,True
2024-12-07T15:30:00+01:00,2024-12-07 15:30:00,4480,5507,13,6056,-4480,True
2024-12-22T09:30:00+01:00,2024-12-22 09:30:00,4480,5327,16,5740,-4480,True
2024-12-07T02:00:00+01:00,2024-12-07 02:00:00,4470,5256,0,5817,-4470,True
2024-01-02T22:00:00+01:00,2024-01-02 22:00:00,4470,5335,0,5718,-4470,True
2024-01-01T20:30:00+01:00,2024-01-01 20:30:00,4469,4916,0,5271,-4469,True
2024-11-24T06:00:00+01:00,2024-11-24 06:00:00,4465,5038,0,5191,-4465,True
2024-12-19T04:30:00+01:00,2024-12-19 04:30:00,4465,5234,0,4977,-4465,True
2024-12-23T00:00:00+01:00,2024-12-23 00:00:00,4463,5367,0,5753,-4463,True
2024-12-07T16:30:00+01:00,2024-12-07 16:30:00,4463,5404,0,5963,-4463,True
2024-01-02T06:00:00+01:00,2024-01-02 06:00:00,4462,5220,0,4979,-4462,True
2024-11-24T06:30:00+01:00,2024-11-24 06:30:00,4459,5013,0,5160,-4459,True
2024-01-03T00:30:00+01:00,2024-01-03 00:30:00,4457,5310,0,5673,-4457,True
2024-12-08T11:30:00+01:00,2024-12-08 11:30:00,4452,5151,34,5760,-4452,True
2024-12-21T19:30:00+01:00,2024-12-21 19:30:00,4452,5640,0,6136,-4452,True
2024-12-05T22:00:00+01:00,2024-12-05 22:00:00,4452,5336,0,5929,-4452,True
2024-12-07T11:30:00+01:00,2024-12-07 11:30:00,4451,5497,130,6180,-4451,True
2024-11-24T23:30:00+01:00,2024-11-24 23:30:00,4450,5182,0,5343,-4450,True
2024-12-07T09:30:00+01:00,2024-12-07 09:30:00,4448,5348,25,5932,-4448,True
2024-12-07T15:00:00+01:00,2024-12-07 15:00:00,4446,5497,27,6106,-4446,True
2024-12-22T23:30:00+01:00,2024-12-22 23:30:00,4444,5356,0,5827,-4444,True
2024-04-04T04:30:00+02:00,2024-04-04 04:30:00,4437,4467,0,4923,-4437,True
2024-12-07T10:30:00+01:00,2024-12-07 10:30:00,4436,5475,141,6181,-4436,True
2024-12-22T08:30:00+01:00,2024-12-22 08:30:00,4434,5333,0,5510,-4434,True
2024-01-04T21:30:00+01:00,2024-01-04 21:30:00,4433,5203,0,5826,-4433,True
2024-12-23T02:00:00+01:00,2024-12-23 02:00:00,4421,5366,0,5797,-4421,True
2024-11-24T04:00:00+01:00,2024-11-24 04:00:00,4420,5088,0,5303,-4420,True
2024-01-02T16:30:00+01:00,2024-01-02 16:30:00,4419,5378,3,5833,-4419,True
2024-12-06T00:00:00+01:00,2024-12-06 00:00:00,4413,5377,0,5984,-4413,True
2024-12-21T15:30:00+01:00,2024-12-21 15:30:00,4411,5359,8,5889,-4411,True
2024-12-07T08:30:00+01:00,2024-12-07 08:30:00,4407,5200,0,5812,-4407,True
